card;tag
math-studycards_others01_roman-numerals.png;Roman
math-studycards_others02_sets.png;set
math-studycards_others03_sets-2.png;set
math-studycards_others04_linear-function.png;function
math-studycards_geometry01_6-brothers.png;area,perimeter,surface,volume
math-studycards_geometry02_angles.png;angle
math-studycards_geometry03_shapes.png;shapes
math-studycards_geometry04_rectangle.png;rectangle
math-studycards_geometry05_square.png;square
math-studycards_geometry06_triangle.png;triangle
math-studycards_geometry07_triangle-2.png;triangle
math-studycards_geometry08_triangle-3.png;triangle
math-studycards_geometry09_triangle-4.png;triangle
math-studycards_geometry10_circle.png;circle
math-studycards_geometry11_trapezoid.png;trapezoid
math-studycards_geometry12_parallelogram.png;parallelogram
math-studycards_geometry13_rhombus.png;rhombus
math-studycards_geometry14_kite.png;kite
math-studycards_geometry15_prism.png;prism
math-studycards_geometry16_cylinder.png;cylinder
math-studycards_geometry17_sphere.png;sphere
math-studycards_geometry18_transformations.png;reflection
math-studycards_geometry19_coordinates.png;coordinate
math-studycards_geometry20_pythagorean-theorem.png;Pythagoras
math-studycards_units01_length.png;unit,distance
math-studycards_units02_liquid.png;unit,capacity
math-studycards_units03_mass.png;unit,mass
math-studycards_units04_time.png;unit,time
math-studycards_counting01_place-value.png;place
math-studycards_counting02_multiplication-table.png;multiplication
math-studycards_counting03_rounding.png;rounding
math-studycards_counting04_addition.png;addition
math-studycards_counting05_subtraction.png;subtraction
math-studycards_counting06_multiplication.png;multiplication
math-studycards_counting07_division.png;division
math-studycards_counting08_order-operations.png;operations
math-studycards_counting09_rules-signs.png;sign
math-studycards_counting10_negative-numbers.png;negative
math-studycards_counting11_fractions.png;fraction
math-studycards_counting12_fractions-2.png;fraction
math-studycards_counting13_fractions-3.png;fraction
math-studycards_counting14_fractions-4.png;fraction
math-studycards_counting15_fractions-5.png;fraction
math-studycards_counting16_decimals.png;decimal
math-studycards_counting17_counting-tricks.png;mental
math-studycards_counting18_exponentiation.png;power
math-studycards_counting19_square-roots.png;root
math-studycards_counting20_divisibility.png;divisibility
math-studycards_counting21_gcd-lcd.png;GCD,LCM
math-studycards_counting22_percentage.png;percentage
math-studycards_counting23_interest.png;interest
math-studycards_counting24_averages.png;average
math-studycards_counting25_probability.png;probability
math-studycards_counting26_rates.png;ratio
math-studycards_counting27_equations.png;equation
math-studycards_counting28_sets-numbers.png;numbers
math-studycards_others51_sets-operations.png;set
math-studycards_others52_analysing-functions.png;function
math-studycards_others53_graphs-functions.png;graph,function
math-studycards_others54_derivatives.png;differentiation
math-studycards_others55_integration.png;integration
math-studycards_geometry51_area-triangle.png;triangle
math-studycards_geometry52_congruency-triangles.png;triangle
math-studycards_geometry53_circle.png;circle
math-studycards_geometry54_inscribed-central-angle.png;circle,angle
math-studycards_geometry55_quadrilaterals.png;circle,shape
math-studycards_geometry56_pyramids-cones.png;pyramid,cone
math-studycards_geometry56_right-angled-triangle.png;triangle
math-studycards_geometry57_line-circle.png;function,circle,line
math-studycards_geometry58_vectors.png;vector
math-studycards_geometry59_golden-ratio.png;golden-ratio
math-studycards_arithmetic51_exponentiation.png;power
math-studycards_arithmetic52_notable-properties.png;identity
math-studycards_arithmetic53_arithmetic-geometric-mean.png;average,mean
math-studycards_arithmetic54_quadratic-formula.png;quadratic
math-studycards_arithmetic55_compound-interest.png;interest
math-studycards_arithmetic56_combinatorics.png;combinatorics
math-studycards_arithmetic57_probability.png;probability
math-studycards_arithmetic58_statistics.png;statistics
math-studycards_arithmetic59_exponential-logarithmic-functions.png;exponential,logarithm
math-studycards_arithmetic60_sequences.png;sequence,arithmetic,geometric
math-studycards_trigonometry51_trigonometry-sin-cos-tan-cot.png;trigonometry,sin,cos,tan
math-studycards_trigonometry52_trigonometry-identities.png;trigonometry,sin,cos,tan
math-studycards_trigonometry53_trigonometry-rules.png;trigonometry,sin,cos
